Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
2146. K Highest Ranked Items Within a Price Range,Medium,38.6K,16.8K,43.6%,512,10,"array, breadth-first-search, sorting, heap-priority-queue, matrix"
2147. Number of Ways to Divide a Long Corridor,Hard,140.4K,69.2K,49.3%,1.1K,94,"math, string, dynamic-programming"
2148. Count Elements With Strictly Smaller and Greater Elements,Easy,104.8K,62.4K,59.5%,654,16,"array, sorting, counting"
2149. Rearrange Array Elements by Sign,Medium,532.7K,448.1K,84.1%,3.4K,160,"array, two-pointers, simulation"
2150. Find All Lonely Numbers in the Array,Medium,85.7K,52.2K,60.9%,656,21,"array, hash-table, counting"
2151. Maximum Good People Based on Statements,Hard,28.1K,14.3K,50.8%,509,4,"array, backtracking, bit-manipulation, enumeration"
Subscribe,Hard,0,0,0%,0,0,
,,,,,0,0,
2155. All Divisions With the Highest Score of a Binary Array,Medium,48.4K,31.3K,64.5%,508,9,array
2156. Find Substring With Given Hash Value,Hard,58K,13.9K,24.0%,428,9,"string, sliding-window, rolling-hash, hash-function"
2157. Groups of Strings,Hard,37.9K,9.9K,26.2%,478,5,"string, bit-manipulation, union-find"
2160. Minimum Sum of Four Digit Number After Splitting Digits,Easy,161.9K,139.7K,86.3%,1.4K,32,"math, greedy, sorting"
2161. Partition Array According to Given Pivot,Medium,98.9K,84.3K,85.2%,1.1K,33,"array, two-pointers, simulation"
2162. Minimum Cost to Set Cooking Time,Medium,40.6K,16.8K,41.4%,219,8,"math, enumeration"
2163. Minimum Difference in Sums After Removal of Elements,Hard,22.7K,10.9K,48.1%,673,5,"array, dynamic-programming, heap-priority-queue"
2164. Sort Even and Odd Indices Independently,Easy,108.3K,67.8K,62.6%,737,15,"array, sorting"
2165. Smallest Value of the Rearranged Number,Medium,75K,39.5K,52.7%,656,8,"math, sorting"
2166. Design Bitset,Medium,73.2K,23.9K,32.7%,592,6,"array, hash-table, string, design"
2167. Minimum Time to Remove All Cars Containing Illegal Goods,Hard,31.6K,13.2K,41.7%,676,7,"string, dynamic-programming"
2169. Count Operations to Obtain Zero,Easy,107.2K,80K,74.7%,611,13,"math, simulation"
2170. Minimum Operations to Make the Array Alternating,Medium,69.6K,23.3K,33.5%,581,10,"array, hash-table, greedy, counting"
2171. Removing Minimum Number of Magic Beans,Medium,65.7K,28.3K,43.1%,877,7,"array, greedy, sorting, enumeration, prefix-sum"
2172. Maximum AND Sum of Array,Hard,29.6K,14.7K,49.6%,515,5,"array, dynamic-programming, bit-manipulation, bitmask"
2176. Count Equal and Divisible Pairs in an Array,Easy,104.7K,83.5K,79.7%,651,9,array
2177. Find Three Consecutive Integers That Sum to a Given Number,Medium,78.1K,50.6K,64.8%,683,36,"math, simulation"
2178. Maximum Split of Positive Even Integers,Medium,81K,48.1K,59.4%,791,13,"math, backtracking, greedy"
2179. Count Good Triplets in an Array,Hard,21.3K,8.9K,41.6%,623,6,"array, binary-search, divide-and-conquer, binary-indexed-tree, segment-tree, merge-sort, ordered-set"
2180. Count Integers With Even Digit Sum,Easy,100.7K,68.2K,67.7%,639,8,"math, simulation"
2181. Merge Nodes in Between Zeros,Medium,314.1K,282.1K,89.8%,2.3K,143,"linked-list, simulation"
2182. Construct String With Repeat Limit,Medium,44K,24.2K,55.0%,673,11,"hash-table, string, greedy, heap-priority-queue, counting"
2183. Count Array Pairs Divisible by K,Hard,62.1K,18.4K,29.7%,872,5,"array, math, number-theory"
2185. Counting Words With a Given Prefix,Easy,132.8K,104.1K,78.4%,703,15,"array, string, string-matching"
2186. Minimum Number of Steps to Make Two Strings Anagram II,Medium,62.2K,45.3K,72.8%,578,12,"hash-table, string, counting"
2187. Minimum Time to Complete Trips,Medium,312.5K,121.4K,38.8%,2.8K,80,"array, binary-search"
2188. Minimum Time to Finish the Race,Hard,29.7K,12.4K,41.8%,572,4,"array, dynamic-programming"
2190. Most Frequent Number Following Key In an Array,Easy,66.9K,39.6K,59.2%,374,23,"array, hash-table, counting"
2191. Sort the Jumbled Numbers,Medium,245.8K,148K,60.2%,927,169,"array, sorting"
2192. All Ancestors of a Node in a Directed Acyclic Graph,Medium,219.2K,136.2K,62.2%,1.6K,115,"depth-first-search, breadth-first-search, graph, topological-sort"
2193. Minimum Number of Moves to Make Palindrome,Hard,48.3K,24.8K,51.4%,987,11,"two-pointers, string, greedy, binary-indexed-tree"
2194. Cells in a Range on an Excel Sheet,Easy,89.1K,75K,84.2%,615,7,string
2195. Append K Integers With Minimal Sum,Medium,132.4K,34K,25.7%,765,13,"array, math, greedy, sorting"
2196. Create Binary Tree From Descriptions,Medium,188.9K,154.4K,81.8%,1.6K,135,"array, hash-table, tree, binary-tree"
2197. Replace Non-Coprime Numbers in Array,Hard,38.7K,15.4K,39.9%,432,8,"array, math, stack, number-theory"
2200. Find All K-Distant Indices in an Array,Easy,63.8K,42.4K,66.4%,421,4,"array, two-pointers"
2201. Count Artifacts That Can Be Extracted,Medium,36.4K,20.5K,56.3%,215,6,"array, hash-table, simulation"
2202. Maximize the Topmost Element After K Moves,Medium,132.2K,30.5K,23.1%,622,20,"array, greedy"
2203. Minimum Weighted Subgraph With the Required Paths,Hard,34.5K,12.8K,37.2%,679,6,"graph, shortest-path"
2206. Divide Array Into Equal Pairs,Easy,120K,88.7K,73.9%,724,16,"array, hash-table, bit-manipulation, counting"
2207. Maximize Number of Subsequences in a String,Medium,58.6K,20.6K,35.1%,506,11,"string, greedy, prefix-sum"
2208. Minimum Operations to Halve Array Sum,Medium,73.3K,34.8K,47.4%,605,15,"array, greedy, heap-priority-queue"
2209. Minimum White Tiles After Covering With Carpets,Hard,35.1K,13.1K,37.3%,504,5,"string, dynamic-programming, prefix-sum"
2210. Count Hills and Valleys in an Array,Easy,88.4K,54.3K,61.4%,697,23,array
2211. Count Collisions on a Road,Medium,69K,30.3K,43.9%,677,14,"string, stack, simulation"
2212. Maximum Points in an Archery Competition,Medium,32.3K,16.3K,50.5%,496,8,"array, backtracking, bit-manipulation, enumeration"
2213. Longest Substring of One Repeating Character,Hard,15.7K,5.1K,32.3%,302,4,"array, string, segment-tree, ordered-set"
2215. Find the Difference of Two Arrays,Easy,523K,417K,79.7%,2.4K,71,"array, hash-table"
2216. Minimum Deletions to Make Array Beautiful,Medium,70.6K,34.3K,48.6%,801,7,"array, stack, greedy"
2217. Find Palindrome With Fixed Length,Medium,63.7K,23.8K,37.4%,630,15,"array, math"
2218. Maximum Value of K Coins From Piles,Hard,115.6K,70K,60.5%,2.3K,51,"array, dynamic-programming, prefix-sum"
2220. Minimum Bit Flips to Convert Number,Easy,291.8K,255.2K,87.5%,1.4K,124,bit-manipulation
2221. Find Triangular Sum of an Array,Medium,108.1K,85.3K,78.9%,1.1K,23,"array, math, simulation, combinatorics"
2222. Number of Ways to Select Buildings,Medium,77.4K,39.3K,50.8%,988,14,"string, dynamic-programming, prefix-sum"
2223. Sum of Scores of Built Strings,Hard,22.1K,9.1K,41.2%,269,4,"string, binary-search, rolling-hash, suffix-array, string-matching, hash-function"
2224. Minimum Number of Operations to Convert Time,Easy,68.5K,44.9K,65.5%,460,4,"string, greedy"
2225. Find Players With Zero or One Losses,Medium,357.1K,260.8K,73.0%,2.2K,106,"array, hash-table, sorting, counting"
2226. Maximum Candies Allocated to K Children,Medium,120.5K,46.4K,38.5%,1.1K,19,"array, binary-search"
2227. Encrypt and Decrypt Strings,Hard,34.1K,14K,41.0%,339,6,"array, hash-table, string, design, trie"
2231. Largest Number After Digit Swaps by Parity,Easy,76.8K,48K,62.5%,627,17,"sorting, heap-priority-queue"
2232. Minimize Result by Adding Parentheses to Expression,Medium,33K,22.5K,68.1%,215,6,"string, enumeration"
2233. Maximum Product After K Increments,Medium,83.3K,34.8K,41.8%,742,15,"array, greedy, heap-priority-queue"
2234. Maximum Total Beauty of the Gardens,Hard,26K,7.7K,29.8%,438,5,"array, two-pointers, binary-search, greedy, sorting"
2235. Add Two Integers,Easy,660.9K,581.9K,88.0%,1.7K,196,math
2236. Root Equals Sum of Children,Easy,302.8K,256.7K,84.7%,1.3K,88,"tree, binary-tree"
2239. Find Closest Number to Zero,Easy,253.7K,118K,46.5%,628,17,array
2240. Number of Ways to Buy Pens and Pencils,Medium,52.7K,30.3K,57.5%,456,5,"math, enumeration"
2241. Design an ATM Machine,Medium,55.9K,23.9K,42.7%,269,18,"array, greedy, design"
2242. Maximum Score of a Node Sequence,Hard,33K,12.8K,38.6%,530,2,"array, graph, sorting, enumeration"
2243. Calculate Digit Sum of a String,Easy,64.1K,42.6K,66.5%,551,14,"string, simulation"
2244. Minimum Rounds to Complete All Tasks,Medium,246.5K,155.1K,62.9%,2.8K,98,"array, hash-table, greedy, counting"
2245. Maximum Trailing Zeros in a Cornered Path,Medium,23.1K,8.4K,36.5%,188,11,"array, matrix, prefix-sum"
2246. Longest Path With Different Adjacent Characters,Hard,142.8K,77.5K,54.3%,2.4K,102,"array, string, tree, depth-first-search, graph, topological-sort"
2248. Intersection of Multiple Arrays,Easy,134.4K,91.9K,68.4%,732,19,"array, hash-table, sorting, counting"
2249. Count Lattice Points Inside a Circle,Medium,48.9K,26.4K,53.9%,236,7,"array, hash-table, math, geometry, enumeration"
2250. Count Number of Rectangles Containing Each Point,Medium,50.6K,17.9K,35.4%,510,9,"array, binary-search, binary-indexed-tree, sorting"
2251. Number of Flowers in Full Bloom,Hard,151.2K,86K,56.9%,1.7K,99,"array, hash-table, binary-search, sorting, prefix-sum, ordered-set"
2255. Count Prefixes of a Given String,Easy,92.7K,67.6K,72.9%,544,11,"array, string"
2256. Minimum Average Difference,Medium,202.9K,87.8K,43.3%,1.5K,38,"array, prefix-sum"
2257. Count Unguarded Cells in the Grid,Medium,33.4K,17.6K,52.7%,427,2,"array, matrix, simulation"
2258. Escape the Spreading Fire,Hard,34.9K,12.3K,35.3%,746,19,"array, binary-search, breadth-first-search, matrix"
2259. Remove Digit From Number to Maximize Result,Easy,205.3K,94.8K,46.2%,848,20,"string, greedy, enumeration"
2260. Minimum Consecutive Cards to Pick Up,Medium,161.5K,83.6K,51.8%,978,24,"array, hash-table, sliding-window"
2261. K Divisible Elements Subarrays,Medium,71.1K,37.5K,52.7%,683,17,"array, hash-table, trie, rolling-hash, hash-function, enumeration"
2262. Total Appeal of A String,Hard,64.7K,36.1K,55.8%,1.1K,12,"hash-table, string, dynamic-programming"
2264. Largest 3-Same-Digit Number in String,Easy,222.7K,153.8K,69.1%,1K,82,string
2265. Count Nodes Equal to Average of Subtree,Medium,181.1K,156.4K,86.4%,2.2K,62,"tree, depth-first-search, binary-tree"
2266. Count Number of Texts,Medium,46.1K,22.2K,48.2%,879,9,"hash-table, math, string, dynamic-programming"
2267. Check if There Is a Valid Parentheses String Path,Hard,42.3K,16.6K,39.2%,518,8,"array, dynamic-programming, matrix"
2269. Find the K-Beauty of a Number,Easy,109.4K,66.4K,60.7%,672,18,"math, string, sliding-window"
2270. Number of Ways to Split Array,Medium,96.2K,46.5K,48.4%,579,12,"array, prefix-sum"
2271. Maximum White Tiles Covered by a Carpet,Medium,51.1K,17.3K,33.9%,781,11,"array, binary-search, greedy, sorting, prefix-sum"
2272. Substring With Largest Variance,Hard,151.4K,70K,46.2%,1.9K,72,"array, dynamic-programming"
2273. Find Resultant Array After Removing Anagrams,Easy,113.9K,66.8K,58.7%,688,22,"array, hash-table, string, sorting"
2274. Maximum Consecutive Floors Without Special Floors,Medium,65.6K,34.1K,51.9%,412,12,"array, sorting"
2275. Largest Combination With Bitwise AND Greater Than Zero,Medium,40.6K,29.6K,72.9%,582,8,"array, hash-table, bit-manipulation, counting"
2276. Count Integers in Intervals,Hard,57K,20.1K,35.3%,586,6,"design, segment-tree, ordered-set"
2278. Percentage of Letter in String,Easy,108.2K,80.3K,74.2%,527,16,string
2279. Maximum Bags With Full Capacity of Rocks,Medium,145.6K,98.3K,67.5%,1.7K,48,"array, greedy, sorting"
2280. Minimum Lines to Represent a Line Chart,Medium,107.6K,27.5K,25.6%,341,15,"array, math, geometry, sorting, number-theory"
2281. Sum of Total Strength of Wizards,Hard,74.6K,21K,28.1%,1.2K,23,"array, stack, monotonic-stack, prefix-sum"
2283. Check if Number Has Equal Digit Count and Digit Value,Easy,87.1K,63.2K,72.6%,613,27,"hash-table, string, counting"
2284. Sender With Largest Word Count,Medium,63.1K,36.2K,57.3%,439,11,"array, hash-table, string, counting"
2285. Maximum Total Importance of Roads,Medium,210.6K,145.9K,69.3%,1.3K,119,"greedy, graph, sorting, heap-priority-queue"
2286. Booking Concert Tickets in Groups,Hard,41K,7.4K,18.1%,335,7,"binary-search, design, binary-indexed-tree, segment-tree"
2287. Rearrange Characters to Make Target String,Easy,73.5K,43.9K,59.7%,478,10,"hash-table, string, counting"
2288. Apply Discount to Prices,Medium,81.4K,25.8K,31.7%,204,17,string
2289. Steps to Make Array Non-decreasing,Medium,105.2K,23.6K,22.4%,1.4K,19,"array, linked-list, stack, monotonic-stack"
2290. Minimum Obstacle Removal to Reach Corner,Hard,52.8K,29.3K,55.6%,971,13,"array, breadth-first-search, graph, heap-priority-queue, matrix, shortest-path"
2293. Min Max Game,Easy,81.9K,52K,63.5%,538,9,"array, simulation"
2294. Partition Array Such That Maximum Difference Is K,Medium,61.6K,45.6K,74.1%,776,12,"array, greedy, sorting"
2295. Replace Elements in an Array,Medium,64.8K,37.6K,58.1%,640,16,"array, hash-table, simulation"
2296. Design a Text Editor,Hard,59.3K,27.3K,46.1%,583,13,"linked-list, string, stack, design, simulation, doubly-linked-list"
2299. Strong Password Checker II,Easy,82.5K,45.4K,55.0%,351,9,string
2300. Successful Pairs of Spells and Potions,Medium,413.6K,181.7K,43.9%,2.6K,82,"array, two-pointers, binary-search, sorting"
2301. Match Substring After Replacement,Hard,36.6K,15.2K,41.5%,381,8,"array, hash-table, string, string-matching"
